brand,model,column,parameter,value,unit,source
Bösendorfer,стандарт,4,Позиция малотков относительно хоров струн,0-2.5,мм,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,патентованная механика,3b,"Нахдрук (мм) Усилие репетиционной пружины, измеренное на вершине",0,,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,"Нахдрук (мм) Усилие репетиционной пружины, измеренное на вершине",2,,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,репетиционного рычага фигуры с компенсационном пружиной в граммах,6-819,,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Позиция шпиллера относительно плоскости репетиционного рычага,0.1,мм,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,Позиция шпиллера относительно плоскости репетиционного рычага,0.1,мм,tmp_forss/crops/p2_left_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Позиция шпиллера относительно плоскости репетиционного рычага,0.3,мм,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,"Положение шпиллера относительно задней грани керна барабанчика Зазор между шпиллером и ограничительным польстером, остающийся после зуслезунга",0,мм,tmp_forss/crops/p2_left_table.png.tsv
Rud. Ibach,стандарт,8,Полукод/момент начала подьема демпфера (мм) Расстоян положе Люфт демпферных проволок в отверстиях направляющего лейстика,22,,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Полукод/момент начала подьема демпфера (мм) Расстоян положе Люфт демпферных проволок в отверстиях направляющего лейстика,23,,tmp_forss/crops/p2_left_table.png.tsv
Fazioli,стандарт,5,Полукод/момент начала подьема демпфера (мм) Расстоян положе Люфт демпферных проволок в отверстиях направляющего лейстика,23.5,,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,Полукод/момент начала подьема демпфера (мм) Расстоян положе Люфт демпферных проволок в отверстиях направляющего лейстика,20,,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,патентованная механика,3b,Расстояние до упора демпферных фигур в демпферлейстик при нажатых,2,,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,клавишах,0.2,мм,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Расстопние до упора демпферных фигур в демпферлейстик при нажатой,0,,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,привой педали (мм) Расстояние между черными клавишами и шуцлейстиком или фильцем,2,,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,клапа,2,мм,tmp_forss/crops/p2_left_table.png.tsv
Bechstein,стандарт,2,Минимальный статический игровой вес без демпферов в басах,50*,г,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,стандарт,3a,Минимальный статический игровой вес без демпферов в басах,55,г,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,Минимальный статический игровой вес без демпферов в басах,50,г,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Минимальный статический игровой вес без демпферов в басах,52,г,tmp_forss/crops/p2_left_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Минимальный статический игровой вес без демпферов в басах,52,г,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,стандарт,3a,Минимальный статический игровой вес без демпферов в середине,55,г,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Минимальный статический игровой вес без демпферов в середине,50,г,tmp_forss/crops/p2_left_table.png.tsv
Rud. Ibach,стандарт,8,Минимальный статический игровой вес без демпферов в середине,52,г,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,Минимальный статический игровой вес без демпферов в середине,50,г,tmp_forss/crops/p2_left_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Минимальный статический игровой вес без демпферов в середине,52,г,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,стандарт,3a,Маскимальный статический игровой вес без демпферов в дискантах,55,г,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Маскимальный статический игровой вес без демпферов в дискантах,48,г,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,Маскимальный статический игровой вес без демпферов в дискантах,48,г,tmp_forss/crops/p2_left_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Маскимальный статический игровой вес без демпферов в дискантах,50,г,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Мансимальный статический игровой вес с демпферами в басах,75,г,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Максимальный статический игровой вес с демпферами в середине,75,г,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Максимальный ссатеческий игровой вес с демпферами в дискантах,65,г,tmp_forss/crops/p2_left_table.png.tsv
Baldwin,стандарт,1,"Вес подъема клавиши в басах, середине и дискантах (г) Оригинальная длина басовых головок молотков (мм) Оригинальная длина головок молотков в середине и дискантах",22,мм,tmp_forss/crops/p2_right_top_end.png.tsv
Grotrian-Steinweg,стандарт,7a,Оригинальный вес головок молотков (г) и номер размера,6*,,tmp_forss/crops/p2_right_top_end.png.tsv
Baldwin,стандарт,1,"Сдвиг механики от левой педали (мм) Трение в осях, измеренное в граммах у отверстия капсюля под шуруп - капсюль молотка - капсюль фигуры",3,,tmp_forss/crops/p2_right_top_end.png.tsv
