brand,model,column,parameter,value,unit,source
Steinway & Sons,S–L New York,17,Расстояние абника от уровня ауслёзунга в басах,1.6,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Расстояние абника от уровня ауслёзунга в басах,1.6,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Расстояние абника от уровня ауслезунга в середине,2,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,Расстояние абника от уровня ауслезунга в середине,1.6,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Расстояние абника от уровня ауслезунга в середине,6,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,стандарт,19,Расстояние абника от уровня ауслезунга в середине,2,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,CF,20,Расстояние абника от уровня ауслезунга в середине,2,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Расстояние абника от уровня ауслезунга в дискантах,2,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,Расстояние абника от уровня ауслезунга в дискантах,1.6,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Расстояние абника от уровня ауслезунга в дискантах,1.6,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,стандарт,19,Расстояние абника от уровня ауслезунга в дискантах,2,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Подхват на фенгер от струн в басах,15,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Подхват на фенгер от струн в басах,15,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Подхват на фенгер от струн в басах,13,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,стандарт,19,Подхват на фенгер от струн в басах,16,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,CF,20,Подхват на фенгер от струн в басах,16,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Подхват на фенгер от струн в середине,15,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Подхват на фенгер от струн в середине,15,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,Подхват на фенгер от струн в середине,13,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Подхват на фенгер от струн в середине,13,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,стандарт,19,Подхват на фенгер от струн в середине,15,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,CF,20,Подхват на фенгер от струн в середине,15,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Подхват на фенгер от струн в дискантах,15,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Подхват на фенгер от струн в дискантах,15,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Подхват на фенгер от струн в дискантах,13,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,стандарт,19,Подхват на фенгер от струн в дискантах,15,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,CF,20,Подхват на фенгер от струн в дискантах,15,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Позиция шпиллера относительно плоскости репетиционного рычага,0.1,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Позиция шпиллера относительно плоскости репетиционного рычага,0.2,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–L New York,17,Позиция шпиллера относительно плоскости репетиционного рычага,0.1,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,B–D New York,18,Позиция шпиллера относительно плоскости репетиционного рычага,0.1,,tmp_forss/crops/p6_left_table.png.tsv
Yamaha,стандарт,19,Позиция шпиллера относительно плоскости репетиционного рычага,0.1-,,tmp_forss/crops/p6_left_table.png.tsv
Yamaha,CF,20,Позиция шпиллера относительно плоскости репетиционного рычага,0.1-,,tmp_forss/crops/p6_left_table.png.tsv
Yamaha,стандарт,19,,0.2,мм,tmp_forss/crops/p6_left_table.png.tsv
Yamaha,CF,20,,0.2,мм,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Положение шпиллера относительно задней грани керна барабанчика,0.0,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Положение шпиллера относительно задней грани керна барабанчика,0.0,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,C–D Hamburg,16,"Зазор между шпиллером и ограничительным польстером, остающийся после ауслезунга",4,мм,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Полуход/момент начала подъема демпфера (мм) Расстояние между фильцем клавиш и пожками демпфера в исходном положении,23.5,мм,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Полуход/момент начала подъема демпфера (мм) Расстояние между фильцем клавиш и пожками демпфера в исходном положении,23.5,мм,tmp_forss/crops/p6_left_table.png.tsv
Yamaha,стандарт,19,Полуход/момент начала подъема демпфера (мм) Расстояние между фильцем клавиш и пожками демпфера в исходном положении,24,мм,tmp_forss/crops/p6_left_table.png.tsv
Yamaha,CF,20,Полуход/момент начала подъема демпфера (мм) Расстояние между фильцем клавиш и пожками демпфера в исходном положении,24,мм,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Люфт демпферных проволок в отвертиях направляющего лейстика,0.1,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Люфт демпферных проволок в отвертиях направляющего лейстика,0.1,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–L New York,17,Расстояние до упора демпферных фигур в демпферлейстик при,2.5-,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,B–D New York,18,Расстояние до упора демпферных фигур в демпферлейстик при,2.5-,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–L New York,17,нажатых клавишах,1.6,мм,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,B–D New York,18,нажатых клавишах,1.,мм,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–L New York,17,нажатой правой педали (мм) Расстояние между черными клавишами и шутцлейстиком или фильцем клапа,1.6,мм,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,B–D New York,18,нажатой правой педали (мм) Расстояние между черными клавишами и шутцлейстиком или фильцем клапа,1.6,мм,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Минимальный статический игровой вес без демпферов в басах,47,г,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–L New York,17,Минимальный статический игровой вес без демпферов в басах,50,г,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Минимальный статический игровой вес без демпферов в середине,47%,г,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–L New York,17,Минимальный статический игровой вес без демпферов в середине,48,г,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Минимальный статический игровой вес без демпферов в дискантах (г) Максимальный статический игровой вес с демпферами в басах (г) Максимальный статический игровой вес с демпферами в середине (г) Максимальный статический игровой вес с демпферами в дискантах,47*,г,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–L New York,17,Минимальный статический игровой вес без демпферов в дискантах (г) Максимальный статический игровой вес с демпферами в басах (г) Максимальный статический игровой вес с демпферами в середине (г) Максимальный статический игровой вес с демпферами в дискантах,47,г,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–B Hamburg,15,"Вес подьема клавиши в басах, середине и дискантах",27,г,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,C–D Hamburg,16,"Вес подьема клавиши в басах, середине и дискантах",27,г,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–L New York,17,Оригинальная длина басовых головок молотков,54*,мм,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,B–D New York,18,Оригинальная длина басовых головок молотков,57%,мм,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–L New York,17,Оригинальная длина головок молотков в середине и дискантах,46*,мм,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,B–D New York,18,Оригинальная длина головок молотков в середине и дискантах,492,мм,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–L New York,17,Оригинальный вес головок молотков (г) и номер размера,7.30,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,B–D New York,18,Оригинальный вес головок молотков (г) и номер размера,8.2,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–B Hamburg,15,"Сдвит механики от левой педали (мм) Грение в ослх, измеренное в граммах у отверстия капсюля под шуруп",2.0,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,C–D Hamburg,16,"Сдвит механики от левой педали (мм) Грение в ослх, измеренное в граммах у отверстия капсюля под шуруп",2.0,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–L New York,17,капсоль молотка,3-6,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,B–D New York,18,капсоль молотка,3-6,,tmp_forss/crops/p6_left_table.png.tsv
Steinway & Sons,S–L New York,17,капсюль фигуры - капсюль репетиционного рычага - капсюль шпиллера,3-8,,tmp_forss/crops/p6_right_table.png.tsv
Steinway & Sons,B–D New York,18,капсюль фигуры - капсюль репетиционного рычага - капсюль шпиллера,3-8,,tmp_forss/crops/p6_right_table.png.tsv
Steinway & Sons,S–L New York,17,капсюль демпферной фигуры - капсюль демпфера - капсюль язычка тонхальтера Расстояние от штанги до язычков тонхальтера,3-6,,tmp_forss/crops/p6_right_table.png.tsv
Steinway & Sons,B–D New York,18,капсюль демпферной фигуры - капсюль демпфера - капсюль язычка тонхальтера Расстояние от штанги до язычков тонхальтера,3-6,,tmp_forss/crops/p6_right_table.png.tsv
