brand,model,parameter,value,unit,source_column,source
Samick,SG-185,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,14e,Forss 2009
Samick,SG-205,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,14f,Forss 2009
Samick,SG-225,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,14g,Forss 2009
Samick,SG-275,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,14h,Forss 2009
Samick,SG-140A,Подхват на фенгер от струн в басах,15,мм,14a,Forss 2009
Samick,SG-155,Подхват на фенгер от струн в басах,15,мм,14b,Forss 2009
Samick,SG-172,Подхват на фенгер от струн в басах,15,мм,14c,Forss 2009
Samick,G-3A,Подхват на фенгер от струн в басах,15,мм,14d,Forss 2009
Samick,SG-185,Подхват на фенгер от струн в басах,15,мм,14e,Forss 2009
Samick,SG-205,Подхват на фенгер от струн в басах,15,мм,14f,Forss 2009
Samick,SG-225,Подхват на фенгер от струн в басах,15,мм,14g,Forss 2009
Samick,SG-275,Подхват на фенгер от струн в басах,15,мм,14h,Forss 2009
Samick,SG-140A,Подхват на фенгер от струн в середине,15,мм,14a,Forss 2009
Samick,SG-155,Подхват на фенгер от струн в середине,15,мм,14b,Forss 2009
Samick,SG-172,Подхват на фенгер от струн в середине,15,мм,14c,Forss 2009
Samick,G-3A,Подхват на фенгер от струн в середине,15,мм,14d,Forss 2009
Samick,SG-185,Подхват на фенгер от струн в середине,15,мм,14e,Forss 2009
Samick,SG-205,Подхват на фенгер от струн в середине,15,мм,14f,Forss 2009
Samick,SG-225,Подхват на фенгер от струн в середине,15,мм,14g,Forss 2009
Samick,SG-275,Подхват на фенгер от струн в середине,15,мм,14h,Forss 2009
Samick,SG-140A,Подхват на фенгер от струн в дискантах,15,мм,14a,Forss 2009
Samick,SG-155,Подхват на фенгер от струн в дискантах,15,мм,14b,Forss 2009
Samick,SG-172,Подхват на фенгер от струн в дискантах,15,мм,14c,Forss 2009
Samick,G-3A,Подхват на фенгер от струн в дискантах,15,мм,14d,Forss 2009
Samick,SG-185,Подхват на фенгер от струн в дискантах,15,мм,14e,Forss 2009
Samick,SG-205,Подхват на фенгер от струн в дискантах,15,мм,14f,Forss 2009
Samick,SG-225,Подхват на фенгер от струн в дискантах,15,мм,14g,Forss 2009
Samick,SG-275,Подхват на фенгер от струн в дискантах,15,мм,14h,Forss 2009
Samick,SG-140A,Позиция шпиллера относительно плоскости репетиционного рычага,0.2,мм,14a,Forss 2009
Samick,SG-155,Позиция шпиллера относительно плоскости репетиционного рычага,0.2,мм,14b,Forss 2009
Samick,SG-172,Позиция шпиллера относительно плоскости репетиционного рычага,0.2,мм,14c,Forss 2009
Samick,G-3A,Позиция шпиллера относительно плоскости репетиционного рычага,0.2,мм,14d,Forss 2009
Samick,SG-185,Позиция шпиллера относительно плоскости репетиционного рычага,0.2,мм,14e,Forss 2009
Samick,SG-205,Позиция шпиллера относительно плоскости репетиционного рычага,0.2,мм,14f,Forss 2009
Samick,SG-225,Позиция шпиллера относительно плоскости репетиционного рычага,0.2,мм,14g,Forss 2009
Samick,SG-275,Позиция шпиллера относительно плоскости репетиционного рычага,0.2,мм,14h,Forss 2009
Samick,SG-140A,Полуход / момент начала подъема демпфера,23.5,мм,14a,Forss 2009
Samick,SG-155,Полуход / момент начала подъема демпфера,23.5,мм,14b,Forss 2009
Samick,SG-172,Полуход / момент начала подъема демпфера,23.5,мм,14c,Forss 2009
Samick,G-3A,Полуход / момент начала подъема демпфера,23.5,мм,14d,Forss 2009
Samick,SG-185,Полуход / момент начала подъема демпфера,23.5,мм,14e,Forss 2009
Samick,SG-205,Полуход / момент начала подъема демпфера,23.5,мм,14f,Forss 2009
Samick,SG-225,Полуход / момент начала подъема демпфера,23.5,мм,14g,Forss 2009
Samick,SG-275,Полуход / момент начала подъема демпфера,23.5,мм,14h,Forss 2009
Steinway & Sons,S–B Hamburg,Высота белых клавиш без облицовки над штульрамой,63,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Высота белых клавиш без облицовки над штульрамой,65,мм,16,Forss 2009
Steinway & Sons,S–L New York,Высота белых клавиш без облицовки над штульрамой,65.9,мм,17,Forss 2009
Steinway & Sons,B–D New York,Высота белых клавиш без облицовки над штульрамой,65.9,мм,18,Forss 2009
Steinway & Sons,S–B Hamburg,Высота черных клавиш над белыми,12,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Высота черных клавиш над белыми,12,мм,16,Forss 2009
Steinway & Sons,S–L New York,Высота черных клавиш над белыми,12.7,мм,17,Forss 2009
Steinway & Sons,B–D New York,Высота черных клавиш над белыми,12.7,мм,18,Forss 2009
Yamaha,стандарт,Высота черных клавиш над белыми,12,мм,19,Forss 2009
Yamaha,CF,Высота черных клавиш над белыми,12,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Нажатая черная клавиша над ненажатой белой,2.5,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Нажатая черная клавиша над ненажатой белой,2.25,мм,16,Forss 2009
Steinway & Sons,S–L New York,Нажатая черная клавиша над ненажатой белой,1.6-2.0,мм,17,Forss 2009
Steinway & Sons,B–D New York,Нажатая черная клавиша над ненажатой белой,1.6-2.0,мм,18,Forss 2009
Steinway & Sons,S–B Hamburg,Возвышение середины клавиатуры над краями,2,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Возвышение середины клавиатуры над краями,2,мм,16,Forss 2009
Steinway & Sons,S–L New York,Возвышение середины клавиатуры над краями,0.8,мм,17,Forss 2009
Steinway & Sons,B–D New York,Возвышение середины клавиатуры над краями,0.8,мм,18,Forss 2009
Steinway & Sons,S–B Hamburg,Друк белых клавиш,9.5,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Друк белых клавиш,9.75,мм,16,Forss 2009
Steinway & Sons,S–L New York,Друк белых клавиш,9.9,мм,17,Forss 2009
Steinway & Sons,B–D New York,Друк белых клавиш,10.7,мм,18,Forss 2009
Yamaha,стандарт,Друк белых клавиш,10.0,мм,19,Forss 2009
Yamaha,CF,Друк белых клавиш,10.0,мм,20,Forss 2009
Yamaha,стандарт,Друк черных клавиш,10.0,мм,19,Forss 2009
Yamaha,CF,Друк черных клавиш,10.0,мм,20,Forss 2009
Steinway & Sons,S–L New York,Штульрама плоская или с возвышением,0,мм,17,Forss 2009
Steinway & Sons,B–D New York,Штульрама плоская или с возвышением,0,мм,18,Forss 2009
Steinway & Sons,S–B Hamburg,Люфт клавиш на средних и передних штифтах,0.1,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Люфт клавиш на средних и передних штифтах,0.1,мм,16,Forss 2009
Steinway & Sons,S–L New York,Люфт клавиш на средних и передних штифтах,0.1,мм,17,Forss 2009
Steinway & Sons,B–D New York,Люфт клавиш на средних и передних штифтах,0.1,мм,18,Forss 2009
Steinway & Sons,S–B Hamburg,Расстояние между осями фигур и молотков,114,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Расстояние между осями фигур и молотков,114,мм,16,Forss 2009
Yamaha,стандарт,Расстояние между осями фигур и молотков,112.5,мм,19,Forss 2009
Yamaha,CF,Расстояние между осями фигур и молотков,112.5,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Штейнунг,47,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Штейнунг,47,мм,16,Forss 2009
Steinway & Sons,S–L New York,Штейнунг,45,мм,17,Forss 2009
Steinway & Sons,B–D New York,Штейнунг,48,мм,18,Forss 2009
Yamaha,стандарт,Штейнунг,47.5,мм,19,Forss 2009
Yamaha,CF,Штейнунг,47.5,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Расстояние от гаммерштилей до польстера рулейстика,3-4,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Расстояние от гаммерштилей до польстера рулейстика,3-4,мм,16,Forss 2009
Steinway & Sons,S–L New York,Расстояние от гаммерштилей до польстера рулейстика,5.0,мм,17,Forss 2009
Steinway & Sons,B–D New York,Расстояние от гаммерштилей до польстера рулейстика,5.0,мм,18,Forss 2009
Steinway & Sons,S–L New York,Расстояние ауслезунга в басах,4-2,мм,17,Forss 2009
Steinway & Sons,B–D New York,Расстояние ауслезунга в басах,4-2,мм,18,Forss 2009
Yamaha,стандарт,Расстояние ауслезунга в басах,3,мм,19,Forss 2009
Yamaha,CF,Расстояние ауслезунга в басах,3,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Расстояние ауслезунга от струн в середине,1.5,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Расстояние ауслезунга от струн в середине,1.5,мм,16,Forss 2009
Steinway & Sons,S–L New York,Расстояние ауслезунга от струн в середине,2,мм,17,Forss 2009
Steinway & Sons,B–D New York,Расстояние ауслезунга от струн в середине,2,мм,18,Forss 2009
Yamaha,стандарт,Расстояние ауслезунга от струн в середине,2,мм,19,Forss 2009
Yamaha,CF,Расстояние ауслезунга от струн в середине,2,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Расстояние ауслезунга от струн в дискантах,1.0,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Расстояние ауслезунга от струн в дискантах,1.0,мм,16,Forss 2009
Steinway & Sons,S–L New York,Расстояние ауслезунга от струн в дискантах,1.6,мм,17,Forss 2009
Steinway & Sons,B–D New York,Расстояние ауслезунга от струн в дискантах,1.6,мм,18,Forss 2009
Yamaha,стандарт,Расстояние ауслезунга от струн в дискантах,2.2,мм,19,Forss 2009
Yamaha,CF,Расстояние ауслезунга от струн в дискантах,2.2,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Расстояние абника от уровня ауслезунга в басах,2,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Расстояние абника от уровня ауслезунга в басах,2,мм,16,Forss 2009
Steinway & Sons,S–L New York,Расстояние абника от уровня ауслезунга в басах,1.6,мм,17,Forss 2009
Steinway & Sons,B–D New York,Расстояние абника от уровня ауслезунга в басах,1.6,мм,18,Forss 2009
Yamaha,стандарт,Расстояние абника от уровня ауслезунга в басах,2,мм,19,Forss 2009
Yamaha,CF,Расстояние абника от уровня ауслезунга в басах,2,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Расстояние абника от уровня ауслезунга в середине,2,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Расстояние абника от уровня ауслезунга в середине,2,мм,16,Forss 2009
Steinway & Sons,S–L New York,Расстояние абника от уровня ауслезунга в середине,1.6,мм,17,Forss 2009
Steinway & Sons,B–D New York,Расстояние абника от уровня ауслезунга в середине,1.6,мм,18,Forss 2009
Yamaha,стандарт,Расстояние абника от уровня ауслезунга в середине,2,мм,19,Forss 2009
Yamaha,CF,Расстояние абника от уровня ауслезунга в середине,2,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Расстояние абника от уровня ауслезунга в дискантах,2,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Расстояние абника от уровня ауслезунга в дискантах,2,мм,16,Forss 2009
Steinway & Sons,S–L New York,Расстояние абника от уровня ауслезунга в дискантах,1.6,мм,17,Forss 2009
Steinway & Sons,B–D New York,Расстояние абника от уровня ауслезунга в дискантах,1.6,мм,18,Forss 2009
Yamaha,стандарт,Расстояние абника от уровня ауслезунга в дискантах,2,мм,19,Forss 2009
Yamaha,CF,Расстояние абника от уровня ауслезунга в дискантах,2,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Подхват на фенгер от струн в басах,15,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Подхват на фенгер от струн в басах,15,мм,16,Forss 2009
Steinway & Sons,S–L New York,Подхват на фенгер от струн в басах,13,мм,17,Forss 2009
Steinway & Sons,B–D New York,Подхват на фенгер от струн в басах,13,мм,18,Forss 2009
Yamaha,стандарт,Подхват на фенгер от струн в басах,16,мм,19,Forss 2009
Yamaha,CF,Подхват на фенгер от струн в басах,16,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Подхват на фенгер от струн в середине,15,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Подхват на фенгер от струн в середине,15,мм,16,Forss 2009
Steinway & Sons,S–L New York,Подхват на фенгер от струн в середине,13,мм,17,Forss 2009
Steinway & Sons,B–D New York,Подхват на фенгер от струн в середине,13,мм,18,Forss 2009
Yamaha,стандарт,Подхват на фенгер от струн в середине,15,мм,19,Forss 2009
Yamaha,CF,Подхват на фенгер от струн в середине,15,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Подхват на фенгер от струн в дискантах,15,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Подхват на фенгер от струн в дискантах,15,мм,16,Forss 2009
Steinway & Sons,S–L New York,Подхват на фенгер от струн в дискантах,13,мм,17,Forss 2009
Steinway & Sons,B–D New York,Подхват на фенгер от струн в дискантах,13,мм,18,Forss 2009
Yamaha,стандарт,Подхват на фенгер от струн в дискантах,15,мм,19,Forss 2009
Yamaha,CF,Подхват на фенгер от струн в дискантах,15,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Позиция шпиллера относительно плоскости репетиционного рычага,0.1,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Позиция шпиллера относительно плоскости репетиционного рычага,0.2,мм,16,Forss 2009
Steinway & Sons,S–L New York,Позиция шпиллера относительно плоскости репетиционного рычага,0.1,мм,17,Forss 2009
Steinway & Sons,B–D New York,Позиция шпиллера относительно плоскости репетиционного рычага,0.1,мм,18,Forss 2009
Yamaha,стандарт,Позиция шпиллера относительно плоскости репетиционного рычага,0.1-0.2,мм,19,Forss 2009
Yamaha,CF,Позиция шпиллера относительно плоскости репетиционного рычага,0.1-0.2,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Положение шпиллера относительно задней грани керна барабанчика,0.0,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Положение шпиллера относительно задней грани керна барабанчика,0.0,мм,16,Forss 2009
Steinway & Sons,S–B Hamburg,Полуход / момент начала подъема демпфера,23.5,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Полуход / момент начала подъема демпфера,23.5,мм,16,Forss 2009
Yamaha,стандарт,Полуход / момент начала подъема демпфера,24,мм,19,Forss 2009
Yamaha,CF,Полуход / момент начала подъема демпфера,24,мм,20,Forss 2009
Steinway & Sons,S–B Hamburg,Люфт демпферных проволок в отверстиях направляющего лейстика,0.1,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Люфт демпферных проволок в отверстиях направляющего лейстика,0.1,мм,16,Forss 2009
Steinway & Sons,S–L New York,Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах,2.5-1.6,мм,17,Forss 2009
Steinway & Sons,B–D New York,Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах,2.5-1.6,мм,18,Forss 2009
Steinway & Sons,S–L New York,Расстояние до упора демпферных фигур в демпферлейстик при нажатой правой педали,2.5-1.6,мм,17,Forss 2009
Steinway & Sons,B–D New York,Расстояние до упора демпферных фигур в демпферлейстик при нажатой правой педали,2.5-1.6,мм,18,Forss 2009
Steinway & Sons,S–B Hamburg,Минимальный статический игровой вес без демпферов в басах,47,г,15,Forss 2009
Steinway & Sons,S–L New York,Минимальный статический игровой вес без демпферов в басах,50,г,17,Forss 2009
Steinway & Sons,S–B Hamburg,Минимальный статический игровой вес без демпферов в середине,47,г,15,Forss 2009
Steinway & Sons,S–L New York,Минимальный статический игровой вес без демпферов в середине,49-48,г,17,Forss 2009
Steinway & Sons,S–B Hamburg,Минимальный статический игровой вес без демпферов в дискантах,47,г,15,Forss 2009
Steinway & Sons,S–L New York,Минимальный статический игровой вес без демпферов в дискантах,47,г,17,Forss 2009
Steinway & Sons,S–B Hamburg,"Вес подъема клавиши в басах, середине и дискантах",20-27,г,15,Forss 2009
Steinway & Sons,C–D Hamburg,"Вес подъема клавиши в басах, середине и дискантах",20-27,г,16,Forss 2009
Steinway & Sons,S–L New York,"Вес подъема клавиши в басах, середине и дискантах",20-27,г,17,Forss 2009
Steinway & Sons,B–D New York,"Вес подъема клавиши в басах, середине и дискантах",20-27,г,18,Forss 2009
Steinway & Sons,S–L New York,Оригинальная длина басовых головок молотков,54,мм,17,Forss 2009
Steinway & Sons,B–D New York,Оригинальная длина басовых головок молотков,57,мм,18,Forss 2009
Steinway & Sons,S–L New York,Оригинальная длина головок молотков в середине и дискантах,46,мм,17,Forss 2009
Steinway & Sons,B–D New York,Оригинальная длина головок молотков в середине и дискантах,49,мм,18,Forss 2009
Steinway & Sons,S–L New York,Оригинальный вес головок молотков,7.3,г,17,Forss 2009
Steinway & Sons,B–D New York,Оригинальный вес головок молотков,8.2,г,18,Forss 2009
Steinway & Sons,S–B Hamburg,Сдвиг механики от левой педали,2.0,мм,15,Forss 2009
Steinway & Sons,C–D Hamburg,Сдвиг механики от левой педали,2.0,мм,16,Forss 2009
Steinway & Sons,S–L New York,Трение в оси капсюля молотка,3-6,г,17,Forss 2009
Steinway & Sons,B–D New York,Трение в оси капсюля молотка,3-6,г,18,Forss 2009
Yamaha,CF,Люфт на переднем штифте,0.3,мм,20,Forss 2009
Yamaha,CF,Люфт в среднем капсюле клавиш,0.1-0.2,мм,20,Forss 2009
