brand,model,parameter,value,unit,source_column,source
Blüthner,стандарт,Минимальный статический игровой вес без демпферов в дискантах,55,г,3a,Forss 2009
Bösendorfer,стандарт,Минимальный статический игровой вес без демпферов в дискантах,48,г,4,Forss 2009
Aug. Förster,стандарт,Минимальный статический игровой вес без демпферов в дискантах,50-48,г,6,Forss 2009
Grotrian-Steinweg,стандарт,Минимальный статический игровой вес без демпферов в дискантах,50,г,7a,Forss 2009
Bösendorfer,стандарт,Максимальный статический игровой вес с демпферами в басах,75,г,4,Forss 2009
Bösendorfer,стандарт,Максимальный статический игровой вес с демпферами в середине,75,г,4,Forss 2009
Bösendorfer,стандарт,Максимальный статический игровой вес с демпферами в дискантах,65,г,4,Forss 2009
Baldwin,стандарт,"Вес подъема клавиши в басах, середине и дискантах",16-22,г,1,Forss 2009
Bösendorfer,стандарт,"Вес подъема клавиши в басах, середине и дискантах",20,г,4,Forss 2009
Baldwin,стандарт,Сдвиг механики от левой педали,3,мм,1,Forss 2009
Bösendorfer,стандарт,Сдвиг механики от левой педали,2.5,мм,4,Forss 2009
Aug. Förster,стандарт,Сдвиг механики от левой педали,2.2-2.5,мм,6,Forss 2009
Aug. Förster,стандарт,Трение в оси капсюля молотка,3,г,6,Forss 2009
Aug. Förster,стандарт,Трение в оси капсюля фигуры,3,г,6,Forss 2009
Aug. Förster,стандарт,Трение в оси капсюля репетиционного рычага,5,г,6,Forss 2009
Aug. Förster,стандарт,Трение в оси капсюля демпферной фигуры,2,г,6,Forss 2009
Aug. Förster,стандарт,Трение в оси капсюля демпфера,2-4,г,6,Forss 2009
Bösendorfer,стандарт,Расстояние от штанги до язычков тонхальтера,1,мм,4,Forss 2009
Petrof,Model IV 174 см,Высота белых клавиш без облицовки над штульрамой,63,мм,10,Forss 2009
Kimball,стандарт,Высота белых клавиш с облицовкой над штульрамой,65.1,мм,9,Forss 2009
Sauter,стандарт,Высота белых клавиш с облицовкой над штульрамой,65,мм,11,Forss 2009
Schimmel,<200 см,Высота белых клавиш с облицовкой над штульрамой,62,мм,12a,Forss 2009
Schimmel,>200 см,Высота белых клавиш с облицовкой над штульрамой,62,мм,12b,Forss 2009
Kimball,стандарт,Высота черных клавиш над белыми,12.7,мм,9,Forss 2009
Petrof,Model IV 174 см,Высота черных клавиш над белыми,12,мм,10,Forss 2009
Sauter,стандарт,Высота черных клавиш над белыми,12.5,мм,11,Forss 2009
Schimmel,<200 см,Высота черных клавиш над белыми,11.5,мм,12a,Forss 2009
Schimmel,>200 см,Высота черных клавиш над белыми,12.0-12.5,мм,12b,Forss 2009
Kimball,стандарт,Нажатая черная клавиша над ненажатой белой,2.4,мм,9,Forss 2009
Petrof,Model IV 174 см,Нажатая черная клавиша над ненажатой белой,1.5,мм,10,Forss 2009
Sauter,стандарт,Нажатая черная клавиша над ненажатой белой,1.5,мм,11,Forss 2009
Schimmel,<200 см,Возвышение середины клавиатуры над краями,1.0-1.5,мм,12a,Forss 2009
Schimmel,>200 см,Возвышение середины клавиатуры над краями,1.0-1.5,мм,12b,Forss 2009
Kimball,стандарт,Друк белых клавиш,10.3,мм,9,Forss 2009
Petrof,Model IV 174 см,Друк белых клавиш,10.5,мм,10,Forss 2009
Sauter,стандарт,Друк белых клавиш,10.0,мм,11,Forss 2009
Schimmel,<200 см,Друк белых клавиш,9.80-10.2,мм,12a,Forss 2009
Schimmel,>200 см,Друк белых клавиш,10.1-10.5,мм,12b,Forss 2009
Seiler,180 / 206 / 240,Друк белых клавиш,10,мм,13,Forss 2009
Kimball,стандарт,Друк черных клавиш,10.3,мм,9,Forss 2009
Petrof,Model IV 174 см,Друк черных клавиш,10.5,мм,10,Forss 2009
Sauter,стандарт,Друк черных клавиш,10,мм,11,Forss 2009
Kimball,стандарт,Штульрама плоская или с возвышением,0,мм,9,Forss 2009
Petrof,Model IV 174 см,Штульрама плоская или с возвышением,0,мм,10,Forss 2009
Sauter,стандарт,Штульрама плоская или с возвышением,0,мм,11,Forss 2009
Schimmel,<200 см,Штульрама плоская или с возвышением,0,мм,12a,Forss 2009
Schimmel,>200 см,Штульрама плоская или с возвышением,0,мм,12b,Forss 2009
Petrof,Model IV 174 см,Расстояние между осями фигур и молотков,93,мм,10,Forss 2009
Sauter,стандарт,Расстояние между осями фигур и молотков,115.5,мм,11,Forss 2009
Schimmel,<200 см,Расстояние между осями фигур и молотков,115,мм,12a,Forss 2009
Schimmel,>200 см,Расстояние между осями фигур и молотков,115,мм,12b,Forss 2009
Kimball,стандарт,Штейнунг,47.6,мм,9,Forss 2009
Petrof,Model IV 174 см,Штейнунг,45,мм,10,Forss 2009
Sauter,стандарт,Штейнунг,45,мм,11,Forss 2009
Schimmel,<200 см,Штейнунг,44-47,мм,12a,Forss 2009
Schimmel,>200 см,Штейнунг,44-47,мм,12b,Forss 2009
Seiler,180 / 206 / 240,Штейнунг,45,мм,13,Forss 2009
Petrof,Model IV 174 см,Расстояние от гаммерштилей до польстера рулейстика,4.0,мм,10,Forss 2009
Sauter,стандарт,Расстояние от гаммерштилей до польстера рулейстика,4.0,мм,11,Forss 2009
Schimmel,<200 см,Расстояние от гаммерштилей до польстера рулейстика,2.5,мм,12a,Forss 2009
Kimball,стандарт,Расстояние ауслезунга в басах,3.2,мм,9,Forss 2009
Petrof,Model IV 174 см,Расстояние ауслезунга в басах,3,мм,10,Forss 2009
Sauter,стандарт,Расстояние ауслезунга в басах,2,мм,11,Forss 2009
Schimmel,<200 см,Расстояние ауслезунга в басах,2.5,мм,12a,Forss 2009
Schimmel,>200 см,Расстояние ауслезунга в басах,2.5,мм,12b,Forss 2009
Seiler,180 / 206 / 240,Расстояние ауслезунга в басах,3,мм,13,Forss 2009
Kimball,стандарт,Расстояние ауслезунга от струн в середине,3.2,мм,9,Forss 2009
Petrof,Model IV 174 см,Расстояние ауслезунга от струн в середине,2,мм,10,Forss 2009
Sauter,стандарт,Расстояние ауслезунга от струн в середине,1,мм,11,Forss 2009
Schimmel,<200 см,Расстояние ауслезунга от струн в середине,2.0,мм,12a,Forss 2009
